magnitude,depth,latitude,longitude,Year,Month,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
6.6,9.45,26.0913,-110.321,2013,10,1,0,1,0,1
6.8,35.0,-6.4456,154.931,2013,10,1,1,0,3,1
7.1,19.04,9.8796,124.117,2013,10,0,1,0,1,1
6.6,40.0,35.5142,23.2523,2013,10,1,1,0,1,0
6.7,573.0,53.1995,152.786,2013,10,1,0,0,3,0
6.5,41.54,-30.9255,-178.323,2013,9,1,1,1,0,1
6.8,12.0,27.1825,65.5052,2013,9,0,0,2,0,0
7.1,40.0,-15.8385,-74.5112,2013,9,1,1,0,1,1
7.7,15.0,26.951,65.5009,2013,9,0,0,2,0,0
6.5,20.0,51.5573,-174.767,2013,9,1,1,0,5,1
6.5,402.0,29.9377,138.833,2013,9,1,0,1,1,0
6.5,112.0,-7.44,128.221,2013,9,1,0,0,2,0
7.0,29.0,51.537,-175.23,2013,8,1,1,0,1,0
6.5,8.2,-41.734,174.152,2013,8,0,0,2,0,1
6.7,12.0,5.7732,-78.1999,2013,8,1,0,1,0,1
6.5,17.0,-41.704,174.337,2013,7,1,0,2,0,1
7.3,11.0,-60.857,-25.07,2013,7,1,0,1,0,1
6.6,56.0,-6.029,149.706,2013,7,0,1,1,1,0
7.3,385.5,-3.917,153.927,2013,7,1,0,1,4,1
6.6,10.0,10.701,-42.594,2013,6,1,0,1,0,1
6.5,30.0,11.763,-86.926,2013,6,1,0,0,2,1
6.7,9.0,-10.004,107.236,2013,6,1,0,0,1,0
6.7,624.0,52.235,151.444,2013,5,1,0,0,1,1
8.3,598.1,54.892,153.221,2013,5,1,0,0,1,1
7.4,173.7,-23.009,-177.232,2013,5,1,0,0,1,1
6.8,602.2,18.728,145.288,2013,5,1,0,1,0,0
6.5,10.0,-3.898,152.127,2013,4,1,0,1,4,1
6.6,14.0,30.308,102.888,2013,4,0,1,0,1,0
7.2,110.0,46.221,150.788,2013,4,1,1,1,1,1
6.6,13.0,-3.214,142.542,2013,4,1,1,1,0,1
7.7,80.0,28.033,61.996,2013,4,0,0,0,1,0
6.6,31.0,-6.475,154.607,2013,4,1,1,0,1,1
7.0,66.0,-3.517,138.476,2013,4,0,1,1,0,1
6.5,28.0,-6.598,148.174,2013,3,1,1,1,1,1
6.5,29.0,50.958,157.408,2013,3,1,0,0,3,0
6.9,41.0,50.954,157.283,2013,2,1,0,0,1,1
6.6,11.0,67.631,142.508,2013,2,0,0,0,1,1
6.6,18.0,-10.994,165.741,2013,2,1,1,11,9,1
6.9,145.0,1.135,-77.393,2013,2,0,0,1,1,1
7.1,21.0,-10.928,166.018,2013,2,1,1,11,9,1
6.8,12.0,-10.838,165.969,2013,2,1,1,11,9,1
6.7,11.0,-10.997,165.655,2013,2,1,1,11,9,1
7.0,8.8,-10.499,165.588,2013,2,1,0,11,8,0
