Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,tsunami,mag,Vol,More Info,Deposits,Country,Location Name,latitude,longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,2009,1,3,22,33,40.2,3,1,7.3,,,0,INDONESIA,NEAR NORTH COAST,-0.691,133.305,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,1,15,17,49,39.0,4,1,7.4,,,0,RUSSIA,KAMCHATKA,46.857,155.154,0.11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,2,11,17,34,50.8,4,1,7.2,,,0,INDONESIA,CELEBES SEA,3.884,126.397,0.13,1,,,,,,,,,,,,,,,,,,,,64.0,2.0,,2.0,,,597.0,3.0
,2009,3,19,18,17,40.9,4,1,7.6,,,0,TONGA,TONGA,-23.046,-174.659,0.15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,5,28,8,24,45.0,4,1,7.3,,,0,HONDURAS,OFF COAST OF HONDURAS,16.72,-86.236,4.0,3,,,,,,,,,,,,,,,,7.0,1.0,,,40.0,1.0,100.0,4.0,135.0,3.0,1000.0,4.0
,2009,6,23,14,19,22.0,3,1,6.7,,,0,PAPUA NEW GUINEA,SOLOMON SEA,-5.157,153.782,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,7,1,9,30,10.4,4,1,6.4,,,0,GREECE,CRETE,34.164,25.471,0.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,7,15,9,22,29.0,4,1,7.8,,,1,NEW ZEALAND,OFF WEST COAST OF SOUTH ISLAND,-45.762,166.562,0.47,10,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
,2009,8,10,19,55,35.6,3,1,7.5,,,0,INDIA,ANDAMAN ISLANDS,14.099,92.888,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,8,10,20,7,9.1,4,1,6.4,,,0,JAPAN,HONSHU: S COAST,34.743,138.264,0.6,5,,,,,,,,,,,,,,,,1.0,1.0,,,123.0,3.0,,3.0,5192.0,4.0,,
,2009,8,16,7,38,21.7,4,1,6.7,,,0,INDONESIA,SUMATRA,-1.479,99.49,0.18,1,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,
,2009,9,2,7,55,1.0,4,1,7.0,,,0,INDONESIA,JAVA SEA,-7.782,107.297,0.4,2,,,,,,,,,,,,,,,,81.0,2.0,,,1297.0,4.0,,3.0,,,54000.0,4.0
,2009,9,29,17,48,10.9,4,1,8.1,,,9,SAMOA,SAMOA ISLANDS,-15.489,-172.095,22.35,618,,,,192.0,3.0,,,7.0,1.0,285.0,4.0,,,,,192.0,3.0,,,7.0,1.0,285.0,4.0,,,,
,2009,9,30,10,16,9.2,4,1,7.5,,,0,INDONESIA,SUMATRA,-0.72,99.867,0.27,1,,,,,,,,,,,,,,,,1117.0,4.0,,,1214.0,4.0,2200.0,4.0,,3.0,181665.0,4.0
,2009,10,7,22,3,14.4,4,1,7.6,,,0,VANUATU,VANUATU ISLANDS,-13.006,166.51,0.29,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,1,3,21,48,5.3,4,1,6.6,,,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.743,157.477,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,1,3,22,36,27.9,4,1,7.1,,,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.799,157.346,7.52,51,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,16.0,1.0,60.0,2.0
,2010,1,5,12,15,32.2,4,1,6.8,,,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.019,157.551,0.03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2,26,20,31,26.9,3,1,7.0,,,0,JAPAN,RYUKYU ISLANDS,25.93,128.425,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2,27,6,34,11.5,4,1,8.8,,,4,CHILE,CENTRAL CHILE,-36.122,-72.898,29.0,684,,,,156.0,3.0,,,12000.0,4.0,30000.0,4.0,,,,,558.0,3.0,,,12000.0,4.0,30000.0,4.0,,,500000.0,4.0
,2010,3,11,14,39,43.9,4,1,6.9,,,0,CHILE,CENTRAL CHILE,-34.29,-71.891,0.14,2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
,2010,4,6,22,15,1.5,4,1,7.8,,,0,INDONESIA,SUMATRA,2.383,97.048,0.44,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,5,27,17,14,46.0,3,1,7.2,,,0,VANUATU,VANUATU ISLANDS,-13.698,166.643,0.04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,6,12,19,26,50.4,4,1,7.5,,,0,INDIA,LITTLE NICOBAR ISLAND,7.881,91.936,0.03,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,7,18,13,34,59.0,3,1,7.3,,,0,PAPUA NEW GUINEA,SOLOMON SEA,-5.931,150.59,0.06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,8,10,5,23,44.9,4,1,7.2,,,0,VANUATU,VANUATU ISLANDS,-17.541,168.069,0.23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,8,13,21,19,33.0,4,1,6.9,,,0,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.484,141.476,0.07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,10,25,14,42,22.0,4,1,7.8,,,0,INDONESIA,SUMATRA,-3.487,100.082,16.9,358,,,,431.0,3.0,,,,,39.0,4.0,700.0,3.0,,,431.0,3.0,,,,,39.0,4.0,700.0,3.0,,
,2010,12,21,17,19,40.6,4,1,7.4,,,0,JAPAN,BONIN ISLANDS,26.901,143.698,0.13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,12,25,13,16,37.0,4,1,7.3,,,0,VANUATU,VANUATU ISLANDS,-19.702,167.947,4.1,12,,,,,,,,4.0,1.0,,1.0,,,,,,,,,4.0,1.0,,1.0,,,,
