"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2001 <= Year >= 2012"",""Cause Code = 1"",""Earthquake Magnitude >= 5.0""]"																																													
	2009	8	10	20	7	9.1	4	1	6.4			0	"JAPAN"	"HONSHU: S COAST"	34.743	138.264	0.6	5																1	1			123	3		3	5192	4		
	2009	8	16	7	38	21.7	4	1	6.7			0	"INDONESIA"	"SUMATRA"	-1.479	99.49	0.18	1																				9	1						
	2009	9	2	7	55	1	4	1	7			0	"INDONESIA"	"JAVA SEA"	-7.782	107.297	0.4	2																81	2			1297	4		3			54000	4
	2009	9	29	17	48	10.9	4	1	8.1			9	"SAMOA"	"SAMOA ISLANDS"	-15.489	-172.095	22.35	618				192	3			7	1	285	4					192	3			7	1	285	4				
	2009	9	30	10	16	9.2	4	1	7.5			0	"INDONESIA"	"SUMATRA"	-0.72	99.867	0.27	1																1117	4			1214	4	2200	4		3	181665	4
	2009	10	7	22	3	14.4	4	1	7.6			0	"VANUATU"	"VANUATU ISLANDS"	-13.006	166.51	0.29	37																											
	2010	1	3	21	48	5.3	4	1	6.6			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-8.743	157.477	0.01	1																											
	2010	1	3	22	36	27.9	4	1	7.1			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-8.799	157.346	7.52	51											1		1										1	16	1	60	2
	2010	1	5	12	15	32.2	4	1	6.8			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-9.019	157.551	0.03	1																											
	2010	2	26	20	31	26.9	3	1	7			0	"JAPAN"	"RYUKYU ISLANDS"	25.93	128.425	0.1	2																											
	2010	2	27	6	34	11.5	4	1	8.8			4	"CHILE"	"CENTRAL CHILE"	-36.122	-72.898	29	684				156	3			12000	4	30000	4					558	3			12000	4	30000	4			500000	4
	2010	3	11	14	39	43.9	4	1	6.9			0	"CHILE"	"CENTRAL CHILE"	-34.29	-71.891	0.14	2																							1				
	2010	4	6	22	15	1.5	4	1	7.8			0	"INDONESIA"	"SUMATRA"	2.383	97.048	0.44	6																											
	2010	5	27	17	14	46	3	1	7.2			0	"VANUATU"	"VANUATU ISLANDS"	-13.698	166.643	0.04	1																											
	2010	6	12	19	26	50.4	4	1	7.5			0	"INDIA"	"LITTLE NICOBAR ISLAND"	7.881	91.936	0.03	2																											
	2010	7	18	13	34	59	3	1	7.3			0	"PAPUA NEW GUINEA"	"SOLOMON SEA"	-5.931	150.59	0.06	1																											
	2010	8	10	5	23	44.9	4	1	7.2			0	"VANUATU"	"VANUATU ISLANDS"	-17.541	168.069	0.23	1																											
	2010	8	13	21	19	33	4	1	6.9			0	"USA TERRITORY"	"GUAM, MARIANA ISLANDS"	12.484	141.476	0.07	1																											
	2010	10	25	14	42	22	4	1	7.8			0	"INDONESIA"	"SUMATRA"	-3.487	100.082	16.9	358				431	3					39	4	700	3			431	3					39	4	700	3		
	2010	12	21	17	19	40.6	4	1	7.4			0	"JAPAN"	"BONIN ISLANDS"	26.901	143.698	0.13	4																											
	2010	12	25	13	16	37	4	1	7.3			0	"VANUATU"	"VANUATU ISLANDS"	-19.702	167.947	4.1	12								4	1		1									4	1		1				
	2011	1	9	10	3	44.2	4	1	6.5			0	"VANUATU"	"VANUATU ISLANDS"	-19.157	168.311	0.03	1																											
	2011	1	13	16	16	41	3	1	7			0	"VANUATU"	"VANUATU ISLANDS"	-20.628	168.471	0.04	1																											
	2011	2	11	20	5	30.7	4	1	6.8			0	"CHILE"	"CENTRAL CHILE"	-36.474	-73.125	0.15	1																											
	2011	3	9	2	45	20	4	1	7.3			0	"JAPAN"	"HONSHU ISLAND"	38.435	142.842	0.6	24																											
