magnitude,depth,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
7.4,23.0,0,1,1,2,0
6.6,204.8,0,0,0,1,0
7.7,17.0,1,1,1,2,0
7.4,30.0,1,0,0,1,0
6.7,24.0,1,0,0,1,0
6.7,27.4,0,0,0,1,0
6.8,25.0,1,0,0,1,0
6.6,96.0,1,1,2,0,0
6.9,110.0,1,0,0,1,0
6.7,12.0,0,0,0,1,0
6.8,108.0,0,0,0,3,0
7.0,22.0,1,0,0,6,0
6.9,25.5,1,1,0,6,0
6.6,17.0,1,1,1,1,0
6.9,7.8,0,0,0,2,0
7.9,19.0,0,1,2,0,0
6.9,27.0,1,0,0,3,0
7.3,33.0,1,1,2,14,0
7.2,10.0,0,0,1,1,0
6.9,24.0,1,1,0,1,0
6.7,25.0,1,0,0,12,0
6.6,25.0,1,0,0,12,0
7.2,25.0,1,0,0,14,0
6.5,22.0,1,0,0,13,0
7.4,26.0,0,0,0,4,0
6.5,28.0,1,1,2,2,0
6.9,29.0,1,1,2,2,0
6.5,83.0,0,0,0,2,0
6.6,20.0,1,1,0,1,0
6.7,45.0,0,1,1,6,0
7.4,156.0,1,1,1,0,0
6.6,16.0,1,1,1,0,0
6.5,18.0,1,1,0,3,0
6.5,20.0,1,0,0,3,0
6.8,53.0,1,1,0,2,0
6.8,122.9,0,0,1,0,0
6.8,26.0,0,1,0,4,0
7.7,40.0,0,1,0,4,0
6.8,21.0,1,0,0,6,0
6.8,18.0,0,1,0,2,0
6.8,40.0,1,1,1,2,0
6.7,30.0,1,0,2,6,0
7.0,22.0,0,1,0,6,0
6.5,28.9,1,0,2,6,0
7.9,35.0,1,0,0,8,0
7.8,40.5,1,0,0,7,0
8.4,34.0,1,1,0,4,0
6.8,15.0,1,0,0,3,0
7.2,35.0,1,1,0,3,0
6.5,15.0,1,1,1,0,0
8.0,39.0,1,0,0,6,0
7.5,280.0,1,0,2,0,0
7.2,120.0,1,1,1,4,0
6.9,25.0,1,0,1,1,0
6.8,350.4,1,0,1,1,0
6.6,12.0,1,0,0,2,0
6.7,23.0,1,0,0,2,0
6.9,10.0,1,1,0,7,0
6.6,10.0,1,1,0,6,0
8.1,24.0,1,1,1,7,0
6.7,8.0,1,0,0,1,0
7.1,34.0,1,1,0,2,0
6.7,12.0,1,1,2,0,0
7.5,22.0,1,0,0,2,0
8.1,10.0,1,0,1,9,0
6.9,10.0,1,0,2,2,0
7.1,10.0,1,0,2,2,0
8.3,10.0,1,1,0,7,0
6.6,11.0,1,1,1,7,0
6.7,23.0,1,0,0,2,0
6.7,32.0,0,1,1,4,0
6.7,38.182,1,1,2,0,0
6.9,28.0,1,1,0,2,0
6.8,38.0,0,0,0,1,0
6.5,43.0,1,0,0,2,0
6.8,150.0,1,1,2,3,0
7.7,20.0,1,1,0,3,0
6.5,34.0,0,1,0,5,0
6.6,19.0,0,0,1,4,0
6.8,12.0,1,1,1,2,0
8.0,55.0,1,1,4,1,0
8.0,60.5,1,1,3,1,0
6.5,12.0,1,1,0,0,0
6.7,12.0,1,1,0,0,0
6.6,11.0,0,0,0,4,0
7.6,22.0,0,0,0,4,0
6.5,14.0,1,1,1,0,0
6.7,30.1,0,1,1,0,0
7.0,11.0,0,0,0,1,0
6.7,66.0,1,0,0,1,0
6.6,14.0,1,0,1,0,0
6.5,224.6,0,1,0,1,0
6.8,22.0,0,0,0,1,0
6.5,29.0,1,0,0,5,0
6.5,21.0,1,0,0,13,0
6.8,147.0,0,1,1,0,0
7.6,26.0,0,1,0,2,0
6.6,25.0,0,1,2,5,0
7.5,115.0,0,0,0,1,0
7.6,90.0,1,1,2,2,0
7.2,36.0,1,0,0,3,0
7.2,16.0,1,0,3,4,0
6.7,21.0,1,0,0,8,0
6.6,27.0,1,0,0,2,0
7.2,16.0,1,0,2,0,0
7.8,115.6,0,0,0,1,0
6.9,30.0,1,0,0,9,0
6.7,34.0,1,0,1,5,0
6.5,30.0,1,0,0,3,0
6.7,19.0,1,0,0,3,0
8.6,30.0,0,0,0,3,0
6.6,10.0,1,0,1,0,0
7.1,201.7,1,1,2,1,0
6.8,36.0,1,0,2,4,0
6.5,10.0,1,0,0,1,0
6.5,39.7,1,1,1,0,0
6.7,206.3,1,0,0,3,0
7.1,525.0,1,0,0,1,0
6.6,27.8,1,1,0,2,0
6.6,16.1,1,0,1,2,0
7.2,39.2,1,1,0,1,0
9.1,30.0,1,0,0,1,0
8.1,10.0,1,0,2,0,0
6.8,10.0,1,1,2,0,0
6.8,35.0,1,1,0,5,0
7.0,39.0,1,0,0,4,0
7.1,10.0,0,0,5,0,0
7.1,10.0,1,1,0,1,0
7.2,15.0,1,1,1,1,0
7.5,10.0,1,1,0,1,0
6.7,10.0,1,1,3,0,0
6.7,10.0,1,0,2,0,0
6.6,16.0,0,0,0,4,0
6.7,94.0,1,1,1,0,0
7.0,35.0,1,0,0,4,0
6.5,105.0,1,0,1,2,0
6.8,36.0,1,1,1,0,0
