tsunami,magnitude,depth,latitude,longitude,Year,Month
0,5.4,26.386,40.9054,143.213,2024,4
0,6.1,29.0,37.7196,141.924,2024,4
0,5.7,41.798,24.1954,121.932,2024,4
0,5.9,73.0,40.1385,141.706,2024,4
0,5.3,35.0,24.3178,142.875,2024,3
0,5.6,20.0,28.4231,130.134,2024,3
0,5.6,44.0,37.1035,141.143,2024,3
0,5.4,45.09,29.1913,141.553,2024,1
0,5.9,10.0,37.8706,137.708,2024,1
0,5.4,6.0,37.2326,136.788,2024,1
0,5.6,10.0,37.5249,137.408,2024,1
0,5.5,10.0,37.5575,137.384,2024,1
0,5.6,10.0,37.2969,136.946,2024,1
0,6.2,10.0,37.1959,136.87,2024,1
1,7.5,10.0,37.4976,137.242,2024,1
0,5.8,10.0,37.5067,137.239,2024,1
0,6.5,31.0,44.5796,148.99,2023,12
0,5.8,42.0,41.168,142.247,2023,11
0,5.8,84.0,45.9031,151.003,2023,11
0,5.6,77.731,44.9541,149.755,2023,11
0,5.9,31.0,24.0602,122.646,2023,10
0,5.7,13.261,25.1583,125.542,2023,10
0,5.3,10.0,29.7869,140.026,2023,10
0,5.4,10.0,29.758,140.021,2023,10
0,5.5,10.0,30.1289,140.022,2023,10
0,6.1,10.0,30.044,140.005,2023,10
0,5.7,10.0,30.0809,139.98,2023,10
0,5.7,10.0,30.0036,139.831,2023,10
0,5.3,10.0,29.9804,139.887,2023,10
0,5.4,10.0,29.99,139.968,2023,10
0,6.1,10.0,29.959,139.948,2023,10
0,5.3,10.0,29.8673,140.048,2023,10
0,5.5,8.0,30.786,142.041,2023,10
0,5.6,10.0,31.0695,141.884,2023,10
0,5.6,10.0,29.9958,140.146,2023,10
0,5.5,10.0,30.0215,140.109,2023,10
0,5.8,6.0,29.9105,140.053,2023,10
0,6.0,10.0,29.905,139.967,2023,10
0,5.8,30.0,44.2539,148.635,2023,9
0,5.7,12.765,30.9578,141.833,2023,9
0,5.8,8.0,31.0125,141.989,2023,9
0,5.5,51.0,38.5129,141.641,2023,9
0,6.3,176.0,26.4336,125.303,2023,9
0,5.2,40.452,38.9566,142.101,2023,9
0,5.9,34.0,41.1222,142.845,2023,8
0,5.5,12.851,30.7637,131.39,2023,8
0,5.4,10.0,24.0074,143.203,2023,7
0,5.8,442.0,42.0873,134.055,2023,6
0,5.6,314.0,45.8086,143.124,2023,6
0,5.1,6.1279,32.414,-102.057,2024,9
