magnitude,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,is_ocean,is_steep_slope
6.7,0,6.713,45.0,18.0,-14.9831,-175.51,2014,6,1,True,False
6.9,0,4.838,25.0,8.0,-55.4703,-28.3669,2014,6,1,True,True
7.9,0,0.133,22.0,109.0,51.8486,178.735,2014,6,1,True,False
6.7,0,0.748,43.0,26.59,-29.9414,-177.607,2014,6,0,True,True
6.5,0,0.778,30.0,10.0,-29.9379,-177.516,2014,6,0,True,True
6.9,0,0.751,35.0,20.0,-29.9772,-177.725,2014,6,1,True,True
6.9,0,0.402,25.0,6.43,40.2893,25.3889,2014,5,0,True,False
6.5,0,3.121,33.0,10.0,7.2096,-82.3045,2014,5,1,True,True
6.6,0,3.34,10.0,106.0,-21.4542,170.355,2014,5,1,True,False
6.5,0,0.0,0.0,10.0,49.6388,-127.732,2014,4,1,True,False
7.5,0,3.82,16.0,43.37,-6.7547,155.024,2014,4,1,True,True
6.6,0,3.803,11.0,29.0,-6.6558,155.087,2014,4,1,True,True
7.2,0,2.25,46.0,24.0,17.397,-100.972,2014,4,1,False,True
6.6,0,2.666,22.0,10.0,-11.1284,162.052,2014,4,0,True,True
7.4,0,2.885,17.0,39.0,-11.4633,162.051,2014,4,1,True,True
7.6,0,2.828,13.0,22.56,-11.2701,162.148,2014,4,1,True,True
